Vendor,Vendor Type,Amount,Due Date,Transaction Date,Transaction Description
Perry-Johnson,Rent,6733.08,16/08/2025,26/07/2025,Monthly office rent payment - North Jennyfort branch
Payne LLC,Utilities,2320.52,05/02/2025,21/12/2024,Electricity bill for office - Port Aaronhaven
Moore-Pace,Legal,4628.22,13/07/2025,08/07/2025,Retainer for corporate legal services
Hodges and Sons,Utilities,6968.94,24/01/2025,20/12/2024,Heating and cooling costs - company premises
Waller Group,Consulting,6763.74,26/05/2025,31/03/2025,External expert engagement - operational efficiency
Johnson-Brewer,Rent,9716.09,24/05/2025,14/05/2025,Commercial space lease fee - South Rebeccastad location
"Flynn, Curtis and Perez",Consulting,8687.21,10/03/2025,26/02/2025,Monthly retainer for strategic advisory
"Becker, Robertson and Kelly",Software,4167,23/06/2025,11/06/2025,Billing for API usage - developer plan
Matthews-Bender,Marketing,8446.63,22/01/2025,29/12/2024,Ad campaign spend - Instagram ads
Carrillo-Carrillo,Rent,743.48,07/12/2024,20/10/2024,Quarterly rent - Port Manuel headquarters
Dunn-Sheppard,Supplies,3554.44,23/08/2024,10/08/2024,Purchase of ergonomic office accessories
Humphrey-Warren,Utilities,7303.89,01/04/2025,22/03/2025,Monthly internet charges - Roberthaven branch
"George, Stuart and Villarreal",Software,1961.44,17/10/2024,12/10/2024,Monthly subscription for team access - 6 users
"Clarke, Norton and Macias",Legal,1722.41,08/03/2025,19/01/2025,Retainer for corporate legal services
Chapman and Sons,Legal,241.2,05/01/2025,21/11/2024,Intellectual property review - annual check
"Donovan, Martin and Garza",Payroll Provider,9887.02,13/03/2025,16/02/2025,Wages disbursed via payroll platform
Richmond-Mack,Utilities,9473.43,19/12/2024,05/11/2024,Water and waste utility fee - New Stephen facility
Lawrence PLC,Marketing,9312.64,11/04/2025,06/04/2025,Content marketing retainer - monthly service
Shaw Group,Utilities,5195.69,23/06/2025,08/06/2025,Phone and data plan charges - office use
Holden-Lambert,Software,7997.92,06/12/2024,27/10/2024,Recurring license fee for SaaS product
Thomas-Jones,Consulting,4566.67,18/08/2025,06/08/2025,External expert engagement - operational efficiency
Dennis-Perkins,Legal,9916.57,12/05/2025,10/04/2025,Retainer for corporate legal services
"Caldwell, Grant and Owens",Rent,9231.91,04/09/2024,20/08/2024,Commercial space lease fee - Paulaburgh location
Powell and Sons,Software,1294.11,20/12/2024,15/11/2024,Annual renewal - enterprise software suite
"Anderson, Rodriguez and Crosby",Rent,7762.73,19/03/2025,04/02/2025,Quarterly rent - New Darinmouth headquarters
"Nichols, Hamilton and Smith",Rent,637.92,06/10/2024,07/09/2024,Rental charge for workspace - downtown Lake Taylorport
Wilson Group,Supplies,6888.65,04/01/2025,04/12/2024,Bulk stationery order - office essentials
Blackwell-Bishop,Utilities,6662.78,28/04/2025,19/04/2025,Heating and cooling costs - company premises
Schultz PLC,Rent,6707.63,15/02/2025,04/02/2025,Rental charge for workspace - downtown Nguyenton
"Sanders, Johnson and Duncan",Supplies,5012.34,26/03/2025,19/02/2025,Breakroom and pantry supplies - monthly refill
"Roberts, Crane and Garrett",Software,7633.29,23/11/2024,03/10/2024,Annual renewal - enterprise software suite
Johnston LLC,Legal,8169.17,26/09/2025,05/08/2025,Retainer for corporate legal services
James-Bowman,Legal,2085.63,05/12/2024,25/11/2024,Document preparation and filing - legal team
Harris Inc,Rent,3273.19,07/08/2025,28/07/2025,Rental charge for workspace - downtown Ashleystad
"Wallace, Olson and Walls",Consulting,9869.04,17/07/2025,24/05/2025,External expert engagement - operational efficiency
"Campbell, Barrett and Williams",Software,1274.92,23/11/2024,18/10/2024,Pro plan billing for cloud platform - 144 seats
"Martinez, Jones and Snyder",Supplies,8237.83,17/01/2025,16/12/2024,Breakroom and pantry supplies - monthly refill
"Simon, Tran and Collier",Utilities,8890.41,15/07/2025,13/07/2025,Water and waste utility fee - Shelbyville facility
Garrett-Johnson,Supplies,9175.46,21/11/2024,18/11/2024,Order of printer cartridges - New Susanland office
Garcia-Rivers,Utilities,3092.27,17/04/2025,07/04/2025,Water and waste utility fee - East Nancy facility
Ochoa Ltd,Software,6509.25,23/02/2025,22/01/2025,Monthly subscription for team access - 111 users
Lee and Sons,Software,9144.28,16/06/2025,04/06/2025,Annual renewal - enterprise software suite
Jones Inc,Consulting,2924.94,11/07/2025,14/05/2025,External expert engagement - operational efficiency
Bender Group,Software,955.85,01/09/2025,20/07/2025,Pro plan billing for cloud platform - 146 seats
"Fisher, Miranda and Allen",Rent,234.07,11/07/2025,21/05/2025,Building rental for company premises
"Saunders, Moore and Acosta",Legal,1112.12,02/09/2025,29/07/2025,Document preparation and filing - legal team
"Jenkins, Smith and Henson",Software,8015.75,13/01/2025,29/11/2024,Billing for API usage - developer plan
Carroll PLC,Marketing,165.71,08/12/2024,09/10/2024,Content marketing retainer - monthly service
"Ross, Ramirez and Matthews",Utilities,987.76,01/01/2025,17/11/2024,Water and waste utility fee - Mayfurt facility
Casey-Lopez,Consulting,2475.06,19/03/2025,19/03/2025,Remote consulting workshop - Q&A session
Smith LLC,Software,4355.34,27/11/2024,14/10/2024,Billing for API usage - developer plan
Riley Ltd,Software,3965.87,18/06/2025,25/05/2025,Annual renewal - enterprise software suite
Guzman LLC,Supplies,5823.98,01/05/2025,05/03/2025,Breakroom and pantry supplies - monthly refill
Allen-Morris,Consulting,1429.77,02/05/2025,20/04/2025,Project-based consulting fee - North Martin office
Moore LLC,Supplies,7297.77,04/03/2025,09/01/2025,"Monthly supply restocking - pens, paper, toner"
Sanchez-Perez,Payroll Provider,7043.84,22/03/2025,05/03/2025,Salary payment facilitation - full-time staff
Patterson and Sons,Supplies,5654.3,06/10/2024,10/08/2024,"Monthly supply restocking - pens, paper, toner"
"Clarke, Miller and Williams",Consulting,4115.05,09/12/2024,02/12/2024,Remote consulting workshop - Q&A session
Compton-Fields,Legal,3313.73,06/09/2024,31/08/2024,Intellectual property review - annual check
Thomas PLC,Consulting,3458.08,17/08/2025,10/07/2025,Remote consulting workshop - Q&A session
"Gonzales, Wallace and Sanders",Supplies,7376.18,24/01/2025,03/12/2024,"Monthly supply restocking - pens, paper, toner"
Jones-Stevens,Consulting,5427.04,19/05/2025,13/04/2025,Monthly retainer for strategic advisory
"Martinez, Watson and Barrera",Consulting,1722.73,30/01/2025,24/12/2024,External expert engagement - operational efficiency
Novak-Bowers,Utilities,5292.63,30/12/2024,07/12/2024,Phone and data plan charges - office use
Thompson LLC,Utilities,2427.64,09/09/2024,14/08/2024,Water and waste utility fee - Timothyport facility
Smith and Sons,Utilities,7148.43,01/12/2024,22/10/2024,Monthly internet charges - Margaretchester branch
Sanders Ltd,Rent,4040.67,10/05/2025,09/05/2025,Building rental for company premises
Johnson-Reese,Utilities,7109.79,12/10/2024,07/09/2024,Electricity bill for office - New Aarontown
Boyd-Guerra,Utilities,9519.42,08/03/2025,26/02/2025,Heating and cooling costs - company premises
"Jimenez, Castillo and Ross",Supplies,1576.39,03/08/2025,12/07/2025,Purchase of ergonomic office accessories
Galvan-Smith,Marketing,2730.22,01/09/2025,04/08/2025,Email campaign services - customer outreach
Hicks-Robinson,Legal,585.56,30/03/2025,17/02/2025,Legal advisory services - compliance audit
Moore-Rush,Supplies,690.41,28/07/2025,05/06/2025,"Monthly supply restocking - pens, paper, toner"
Rose LLC,Marketing,2013.92,05/02/2025,25/12/2024,Influencer collaboration fee - product promo
Sanchez-Spears,Supplies,2402.94,22/07/2025,04/07/2025,Order of printer cartridges - North Christopher office
Rodriguez-Johnson,Supplies,3656.05,17/08/2025,11/07/2025,Order of printer cartridges - New Michaelfort office
Anderson and Sons,Legal,915.8,08/07/2025,21/05/2025,Intellectual property review - annual check
"Allen, Craig and Wilson",Supplies,7494.1,13/02/2025,05/02/2025,Breakroom and pantry supplies - monthly refill
Owens-Gomez,Marketing,5330.64,02/06/2025,05/05/2025,Content marketing retainer - monthly service
Wheeler-Salas,Consulting,7264.41,18/05/2025,18/05/2025,Monthly retainer for strategic advisory
"Bradley, Young and Meyer",Rent,3594.17,23/07/2025,10/07/2025,Rental charge for workspace - downtown Huynhstad
"Smith, Schultz and Wallace",Payroll Provider,1047.5,13/05/2025,29/04/2025,Monthly payroll service fee - 5 employees
Gordon Ltd,Rent,4444.18,09/07/2025,08/07/2025,Monthly office rent payment - East Marc branch
Webb-Jones,Utilities,5036.5,15/08/2024,14/08/2024,Water and waste utility fee - Lake Stephen facility
"Parrish, Adams and York",Marketing,3817.6,28/05/2025,30/03/2025,Ad campaign spend - Instagram ads
Davis and Sons,Utilities,6512.46,18/06/2025,04/06/2025,Heating and cooling costs - company premises
"Lester, Thomas and Patterson",Software,219.81,04/09/2025,17/07/2025,Recurring license fee for SaaS product
Martin-Brown,Payroll Provider,4990.56,22/11/2024,05/11/2024,Salary payment facilitation - full-time staff
Carlson LLC,Consulting,5154.08,01/09/2024,07/08/2024,Project-based consulting fee - Ronaldburgh office
Valdez LLC,Legal,9047.03,28/09/2024,10/08/2024,Intellectual property review - annual check
Reed Inc,Marketing,6637.64,19/08/2025,16/07/2025,Content marketing retainer - monthly service
Rangel PLC,Utilities,2217.4,11/01/2025,15/12/2024,Phone and data plan charges - office use
"Flores, Olsen and Montes",Payroll Provider,6967.73,30/11/2024,12/11/2024,Payroll charges for hourly workers - Kellyburgh site
Johnson and Sons,Marketing,9229.57,29/11/2024,11/10/2024,Content marketing retainer - monthly service
"Arias, Roth and Owens",Utilities,3181.78,02/12/2024,29/10/2024,Phone and data plan charges - office use
"Owens, Smith and White",Marketing,4895.92,21/03/2025,08/02/2025,Ad campaign spend - Instagram ads
"Montes, Chavez and Salinas",Supplies,4931.94,29/03/2025,28/02/2025,Bulk stationery order - office essentials
Green and Sons,Payroll Provider,5184.99,05/08/2025,19/06/2025,Payroll charges for hourly workers - Gainestown site
Anderson and Sons,Supplies,5921.47,27/07/2025,14/07/2025,"Monthly supply restocking - pens, paper, toner"
Murphy-Bradford,Rent,7217.82,22/08/2024,10/08/2024,Commercial space lease fee - New Jessicaburgh location
"Fields, Cook and Hall",Payroll Provider,2145.94,18/05/2025,13/04/2025,Salary payment facilitation - full-time staff
Brock Inc,Software,3765.1,26/06/2025,14/05/2025,Billing for API usage - developer plan
Snyder Inc,Payroll Provider,3688.18,14/02/2025,30/12/2024,Direct deposit processing - contractor payroll
Wiggins Group,Legal,6960.83,06/01/2025,02/12/2024,Document preparation and filing - legal team
"Mejia, Taylor and Bates",Software,6251.57,12/08/2025,08/07/2025,Recurring license fee for SaaS product
Pace-Johnson,Marketing,9424.61,01/07/2025,14/05/2025,SEO and SEM services - lead generation
Atkinson-Bautista,Supplies,9663.15,27/04/2025,27/02/2025,"Monthly supply restocking - pens, paper, toner"
Brock Ltd,Legal,624.43,04/12/2024,17/11/2024,Retainer for corporate legal services
Farmer PLC,Payroll Provider,5258.95,27/10/2024,19/10/2024,Payroll charges for hourly workers - Gallegoshaven site
"Norton, Garner and Wilson",Supplies,3334.71,07/01/2025,23/12/2024,Breakroom and pantry supplies - monthly refill
Brown Group,Utilities,3330.02,09/07/2025,27/05/2025,Phone and data plan charges - office use
Garcia and Sons,Legal,6656.2,27/04/2025,25/04/2025,Retainer for corporate legal services
Richardson-Williams,Marketing,1065.11,08/03/2025,09/01/2025,SEO and SEM services - lead generation
Smith-Gaines,Supplies,8676.13,30/03/2025,14/03/2025,Purchase of ergonomic office accessories
Reynolds LLC,Utilities,1748.71,11/01/2025,29/12/2024,Phone and data plan charges - office use
"Pierce, Hammond and Mendoza",Consulting,8039.83,23/06/2025,01/05/2025,Monthly retainer for strategic advisory
Morris Ltd,Software,3544.4,15/10/2024,07/10/2024,Billing for API usage - developer plan
Carrillo-Deleon,Software,9348.01,28/10/2024,30/09/2024,Monthly subscription for team access - 69 users
Morris-Roman,Consulting,4004.39,24/08/2025,26/06/2025,Consulting session - digital transformation
Weaver-Crawford,Utilities,5684.26,24/01/2025,02/12/2024,Electricity bill for office - North Megan
Whitehead-Callahan,Consulting,5963.07,07/12/2024,12/11/2024,External expert engagement - operational efficiency
Beasley-Nichols,Marketing,5837.19,13/07/2025,03/07/2025,Email campaign services - customer outreach
Andrews Group,Software,2463.2,29/03/2025,18/03/2025,Billing for API usage - developer plan
Fox Inc,Software,763.04,31/01/2025,14/12/2024,Pro plan billing for cloud platform - 16 seats
"Leon, Acosta and Howard",Utilities,4243.37,14/01/2025,29/12/2024,Phone and data plan charges - office use
Jones-Evans,Utilities,5298.84,24/11/2024,08/10/2024,Heating and cooling costs - company premises
Young-Jacobson,Consulting,3473.72,18/06/2025,15/05/2025,Consulting session - digital transformation
"Newman, Fitzgerald and Jacobs",Legal,6301.25,08/12/2024,13/10/2024,Retainer for corporate legal services
"Pierce, Brown and Lewis",Payroll Provider,5397.15,28/02/2025,21/01/2025,Monthly payroll service fee - 134 employees
"Johnson, Johnson and Jones",Consulting,512.63,19/09/2024,28/08/2024,Monthly retainer for strategic advisory
Lowe-Zimmerman,Software,6305.44,17/11/2024,28/09/2024,Billing for API usage - developer plan
Joseph-Allison,Consulting,8021.82,14/01/2025,06/12/2024,Monthly retainer for strategic advisory
George Inc,Rent,2027.68,24/01/2025,03/12/2024,Commercial space lease fee - Port Alexisville location
Goodman-Thompson,Supplies,5372.43,29/06/2025,05/05/2025,Order of printer cartridges - West Nicholasburgh office
Walker-Richards,Supplies,9634.6,06/02/2025,08/12/2024,Bulk stationery order - office essentials
Fernandez Group,Supplies,6938.63,09/12/2024,20/11/2024,Order of printer cartridges - East Rebeccatown office
"Bryant, Graham and Mills",Consulting,4173.75,10/09/2025,26/07/2025,Remote consulting workshop - Q&A session
Dominguez-Gomez,Software,9581.09,16/02/2025,23/12/2024,Billing for API usage - developer plan
Williamson Ltd,Payroll Provider,5592.78,09/03/2025,07/02/2025,Salary payment facilitation - full-time staff
Gordon and Sons,Supplies,3759.24,24/08/2025,30/07/2025,Order of printer cartridges - Justinstad office
"Cannon, Jones and Campbell",Utilities,3793.29,16/02/2025,01/01/2025,Heating and cooling costs - company premises
Potter-Castro,Rent,490.34,24/11/2024,10/10/2024,Quarterly rent - Waremouth headquarters
Walker LLC,Supplies,4596.23,26/08/2024,18/08/2024,Purchase of ergonomic office accessories
"Dunlap, Terry and Keller",Supplies,7838.36,21/10/2024,21/09/2024,Order of printer cartridges - Rodgersland office
Walsh LLC,Marketing,5814.24,15/05/2025,09/04/2025,Email campaign services - customer outreach
Maynard and Sons,Marketing,3208.69,25/10/2024,16/10/2024,Email campaign services - customer outreach
Walker-Carey,Utilities,4370.17,26/11/2024,15/10/2024,Heating and cooling costs - company premises
Hurley-Fuller,Supplies,4282.63,16/05/2025,03/05/2025,"Monthly supply restocking - pens, paper, toner"
Jones Inc,Payroll Provider,1284.05,25/06/2025,16/06/2025,Monthly payroll service fee - 146 employees
James LLC,Payroll Provider,7112.4,11/04/2025,14/03/2025,Salary payment facilitation - full-time staff
Harris Ltd,Rent,1441.36,29/09/2025,31/07/2025,Monthly office rent payment - Jenniferside branch
Morse PLC,Marketing,3327.83,09/12/2024,12/10/2024,Email campaign services - customer outreach
Armstrong-Schmidt,Consulting,5364.17,03/10/2024,29/08/2024,Project-based consulting fee - Pollardside office
Watson-Lucas,Legal,4573.11,11/11/2024,01/11/2024,Intellectual property review - annual check
"Allen, Grant and Gray",Marketing,2151.08,15/01/2025,16/12/2024,Email campaign services - customer outreach
Scott-Taylor,Rent,2845.51,22/12/2024,28/11/2024,Commercial space lease fee - West Michellefort location
"Lopez, Price and Davis",Rent,1047.79,22/07/2025,03/06/2025,Building rental for company premises
Meyer PLC,Consulting,4727.33,24/03/2025,19/02/2025,Project-based consulting fee - New Shane office
Sanders Ltd,Consulting,8199.11,24/07/2025,27/06/2025,Consulting session - digital transformation
Phillips and Sons,Marketing,6151.6,09/02/2025,17/01/2025,Email campaign services - customer outreach
"Mcintyre, Hale and Walker",Consulting,9587.93,17/06/2025,26/04/2025,External expert engagement - operational efficiency
Harrison Ltd,Rent,8594.9,15/08/2025,30/07/2025,Building rental for company premises
Cobb PLC,Utilities,6179.88,19/09/2024,10/09/2024,Phone and data plan charges - office use
Barajas Ltd,Payroll Provider,8966.9,28/12/2024,15/11/2024,Monthly payroll service fee - 147 employees
